festival,edition_year,ticket_name,sale_category,price_eur,currency,formatted_price,price_status,page_title,page_url,official_product_id,official_price_id,capture_timestamp,source_file,source_url_hint,confidence
Tomorrowland,2025,Day Comfort Pass,WorldWide & Belgian Pre-Sale,232.00,EUR,€232.00,For sale,Day Pass,/en/passes-packages/tomorrowland-tickets/day-pass,a3fe30f0-af28-4ba2-8bbe-69406dc3267f,f0febcf1-e64a-407a-96ae-a8fcb51d487c,20250117121930,C:\Users\12907\Desktop\2025-2026大三下学期\数据库原理及应用\数据库期末作业\data\raw\passes_packages_capture_2025\wayback_20250117121930_belgium.tomorrowland.com_en_passes-packages_tomorrowland-tickets_day-pass\Tomorrowland_https_web.archive.org_web_20250117121930_https_belgium.tomorrowland.com_en_passes-packages_tomorrowl.txt,https://web.archive.org/web/20250117121930/https://belgium.tomorrowland.com/en/passes-packages/tomorrowland-tickets/day-pass/,official_wayback_structured
Tomorrowland,2025,Day Comfort Pass,WorldWide Sale,250.00,EUR,€250.00,For sale,Day Pass,/en/passes-packages/tomorrowland-tickets/day-pass,a3fe30f0-af28-4ba2-8bbe-69406dc3267f,d0b45daa-61b2-48df-813a-7b92aeddc5a2,20250117121930,C:\Users\12907\Desktop\2025-2026大三下学期\数据库原理及应用\数据库期末作业\data\raw\passes_packages_capture_2025\wayback_20250117121930_belgium.tomorrowland.com_en_passes-packages_tomorrowland-tickets_day-pass\Tomorrowland_https_web.archive.org_web_20250117121930_https_belgium.tomorrowland.com_en_passes-packages_tomorrowl.txt,https://web.archive.org/web/20250117121930/https://belgium.tomorrowland.com/en/passes-packages/tomorrowland-tickets/day-pass/,official_wayback_structured
Tomorrowland,2025,Day Pass,WorldWide & Belgian Pre-Sale,129.00,EUR,€129.00,For sale,Day Pass,/en/passes-packages/tomorrowland-tickets/day-pass,e76f5834-6fd5-4029-ae5b-85d8849c5b62,bbe66639-dac6-4862-80db-6a2c81e39877,20250117121930,C:\Users\12907\Desktop\2025-2026大三下学期\数据库原理及应用\数据库期末作业\data\raw\passes_packages_capture_2025\wayback_20250117121930_belgium.tomorrowland.com_en_passes-packages_tomorrowland-tickets_day-pass\Tomorrowland_https_web.archive.org_web_20250117121930_https_belgium.tomorrowland.com_en_passes-packages_tomorrowl.txt,https://web.archive.org/web/20250117121930/https://belgium.tomorrowland.com/en/passes-packages/tomorrowland-tickets/day-pass/,official_wayback_structured
Tomorrowland,2025,Day Pass,WorldWide Sale,143.00,EUR,€143.00,For sale,Day Pass,/en/passes-packages/tomorrowland-tickets/day-pass,e76f5834-6fd5-4029-ae5b-85d8849c5b62,567193de-3a06-4931-b380-4730828c95c5,20250117121930,C:\Users\12907\Desktop\2025-2026大三下学期\数据库原理及应用\数据库期末作业\data\raw\passes_packages_capture_2025\wayback_20250117121930_belgium.tomorrowland.com_en_passes-packages_tomorrowland-tickets_day-pass\Tomorrowland_https_web.archive.org_web_20250117121930_https_belgium.tomorrowland.com_en_passes-packages_tomorrowl.txt,https://web.archive.org/web/20250117121930/https://belgium.tomorrowland.com/en/passes-packages/tomorrowland-tickets/day-pass/,official_wayback_structured
Tomorrowland,2025,Day Pleasure Pass,WorldWide & Belgian Pre-Sale,177.00,EUR,€177.00,For sale,Day Pass,/en/passes-packages/tomorrowland-tickets/day-pass,7745a844-e8d8-40ed-94cb-f078b6d49678,a061094d-b86d-4979-99f5-f5eb20dda2d2,20250117121930,C:\Users\12907\Desktop\2025-2026大三下学期\数据库原理及应用\数据库期末作业\data\raw\passes_packages_capture_2025\wayback_20250117121930_belgium.tomorrowland.com_en_passes-packages_tomorrowland-tickets_day-pass\Tomorrowland_https_web.archive.org_web_20250117121930_https_belgium.tomorrowland.com_en_passes-packages_tomorrowl.txt,https://web.archive.org/web/20250117121930/https://belgium.tomorrowland.com/en/passes-packages/tomorrowland-tickets/day-pass/,official_wayback_structured
Tomorrowland,2025,Day Pleasure Pass,WorldWide Sale,208.00,EUR,€208.00,For sale,Day Pass,/en/passes-packages/tomorrowland-tickets/day-pass,7745a844-e8d8-40ed-94cb-f078b6d49678,5b38c331-07a5-4fa3-abd3-394c0e120fd2,20250117121930,C:\Users\12907\Desktop\2025-2026大三下学期\数据库原理及应用\数据库期末作业\data\raw\passes_packages_capture_2025\wayback_20250117121930_belgium.tomorrowland.com_en_passes-packages_tomorrowland-tickets_day-pass\Tomorrowland_https_web.archive.org_web_20250117121930_https_belgium.tomorrowland.com_en_passes-packages_tomorrowl.txt,https://web.archive.org/web/20250117121930/https://belgium.tomorrowland.com/en/passes-packages/tomorrowland-tickets/day-pass/,official_wayback_structured
Tomorrowland,2025,Full Madness Comfort Pass,WorldWide & Belgian Pre-Sale,530.00,EUR,€530.00,For sale,Full Madness Pass,/en/passes-packages/tomorrowland-tickets/full-madness-pass,f378479c-84e3-49bb-b953-eb33dcb305d9,3fc4f1ef-13e7-415e-92fc-d5103b375db3,20250117122523,C:\Users\12907\Desktop\2025-2026大三下学期\数据库原理及应用\数据库期末作业\data\raw\passes_packages_capture_2025\wayback_20250117122523_belgium.tomorrowland.com_en_passes-packages_tomorrowland-tickets_full-madness-pass\Tomorrowland_https_web.archive.org_web_20250117122523_https_belgium.tomorrowland.com_en_passes-packages_tomorrowl.txt,https://web.archive.org/web/20250117122523/https://belgium.tomorrowland.com/en/passes-packages/tomorrowland-tickets/full-madness-pass/,official_wayback_structured
Tomorrowland,2025,Full Madness Comfort Pass,WorldWide Sale,640.00,EUR,€640.00,For sale,Full Madness Pass,/en/passes-packages/tomorrowland-tickets/full-madness-pass,f378479c-84e3-49bb-b953-eb33dcb305d9,088d6387-c7c3-42e6-a0e3-2427fb84fb3e,20250117122523,C:\Users\12907\Desktop\2025-2026大三下学期\数据库原理及应用\数据库期末作业\data\raw\passes_packages_capture_2025\wayback_20250117122523_belgium.tomorrowland.com_en_passes-packages_tomorrowland-tickets_full-madness-pass\Tomorrowland_https_web.archive.org_web_20250117122523_https_belgium.tomorrowland.com_en_passes-packages_tomorrowl.txt,https://web.archive.org/web/20250117122523/https://belgium.tomorrowland.com/en/passes-packages/tomorrowland-tickets/full-madness-pass/,official_wayback_structured
Tomorrowland,2025,Full Madness Pass,WorldWide & Belgian Pre-Sale,304.00,EUR,€304.00,For sale,Full Madness Pass,/en/passes-packages/tomorrowland-tickets/full-madness-pass,1384e858-8059-469d-89f8-22593a858786,a96beb4f-9019-4217-8681-16a4289a3852,20250117122523,C:\Users\12907\Desktop\2025-2026大三下学期\数据库原理及应用\数据库期末作业\data\raw\passes_packages_capture_2025\wayback_20250117122523_belgium.tomorrowland.com_en_passes-packages_tomorrowland-tickets_full-madness-pass\Tomorrowland_https_web.archive.org_web_20250117122523_https_belgium.tomorrowland.com_en_passes-packages_tomorrowl.txt,https://web.archive.org/web/20250117122523/https://belgium.tomorrowland.com/en/passes-packages/tomorrowland-tickets/full-madness-pass/,official_wayback_structured
Tomorrowland,2025,Full Madness Pass,WorldWide Sale,374.00,EUR,€374.00,For sale,Full Madness Pass,/en/passes-packages/tomorrowland-tickets/full-madness-pass,1384e858-8059-469d-89f8-22593a858786,8fac237e-315e-4fc4-b196-2f08ece69d06,20250117122523,C:\Users\12907\Desktop\2025-2026大三下学期\数据库原理及应用\数据库期末作业\data\raw\passes_packages_capture_2025\wayback_20250117122523_belgium.tomorrowland.com_en_passes-packages_tomorrowland-tickets_full-madness-pass\Tomorrowland_https_web.archive.org_web_20250117122523_https_belgium.tomorrowland.com_en_passes-packages_tomorrowl.txt,https://web.archive.org/web/20250117122523/https://belgium.tomorrowland.com/en/passes-packages/tomorrowland-tickets/full-madness-pass/,official_wayback_structured
