site_id,name,airport_score,population_score,ecology_safety_score,noise_safety_score,total_score
5,Kempen rural recreation candidate,90.83,25.85,0.00,100.00,58.71
4,Flevoland open grassland candidate,98.89,24.04,5.28,86.72,58.41
23,Molecaten Parc Flevostrand,89.21,20.10,0.10,88.44,53.92
14,Tivolipark,87.90,100.00,1.25,0.40,51.72
1,Boom recreation candidate near De Schorre,89.22,89.46,0.00,0.00,49.13
18,Domein Roosendael,87.05,87.26,0.60,3.51,48.93
16,Park Fort Liezele,84.77,91.28,0.01,2.58,48.90
12,Park 's Heerenbeemden,87.13,87.63,2.71,0.17,48.63
43,Provinciaal Domein De Schorre,88.18,82.65,1.11,3.79,48.29
6,De Schulp,90.27,17.62,1.28,64.41,47.84
13,Parkdomein Hof Ter Zielbeek,85.56,88.31,0.00,0.12,47.78
15,De Gerrithoeve,86.55,46.53,0.34,37.71,47.09
7,De Edelkarper,92.04,17.09,3.12,56.21,46.56
31,Park Zandbergen,94.92,64.27,1.72,5.19,46.19
11,Gemeentelijk Park Boom,88.91,76.72,0.54,0.43,46.07
32,OSM candidate site 509058462,95.47,63.18,1.39,4.91,45.94
28,Park Romeinse Put,95.45,63.18,2.07,1.41,45.20
8,Muggenbergpark,89.13,71.42,1.57,1.02,45.16
10,Altena,94.53,64.19,2.81,0.74,45.15
47,Park van Eden,94.60,62.55,0.52,3.96,45.11
