site_id,name,terrain_type,area_sqm
26,Oude Warande,park,856273.42
43,Provinciaal Domein De Schorre,park,696474.52
38,Reeshofbos,park,391946.87
19,Wandelgebied Moerenburg,park,336030.48
40,Drijflanen,park,313905.50
42,Krombeemden,park,310085.01
27,Wandelbos,park,303887.95
7,De Edelkarper,park,302819.16
17,Het Leijpark,park,299391.94
30,Provinciaal Groendomein d'Ursel,park,297320.36
11,Gemeentelijk Park Boom,park,296963.81
31,Park Zandbergen,park,239301.58
46,Tulderheyde,camp_site,224718.01
37,Frijthout,park,215170.28
47,Park van Eden,park,208020.54
33,Camping De Scheepsbel,camp_site,205429.00
6,De Schulp,park,194437.52
23,Molecaten Parc Flevostrand,camp_site,190614.89
44,Camping de Witte Wieven,camp_site,189492.66
13,Parkdomein Hof Ter Zielbeek,park,182994.95
